Ngay,Gia_target,outlier_flag,target_lag1,target_lag2,target_lag3,target_ret_lag1,MA5,MA10,std5,dayofweek,month,london_vnd_kg_lag1,usdvnd_lag1,diesel,diesel_chg_1m,diesel_chg_3m,rain_90d,oni,waterbal_90d,Luong_lag1m,dongia_lag1m,dongia_ret_lag1m,area_tn,prod_tn,yield_tn,tonkho_tan
2023-05-11,53466.5,0,53716.5,53466.5,53516.5,0.004675825049329951,53096.5,52211.5,689.7463301822972,3,5,58216.665,23465.0,17653,-0.1234856007944389,-0.2161190053285968,131.78000207000002,-0.02,-323.45684915000004,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-12,54016.5,0,53466.5,53716.5,53466.5,-0.004654063462809388,53376.5,52436.5,383.07962618748934,4,5,56151.745,23465.0,17653,-0.1234856007944389,-0.2161190053285968,147.66000247,-0.02,-306.31728847000005,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-15,55566.5,0,54016.5,53466.5,53716.5,0.010286815108525804,53636.5,52721.5,236.11437906223875,0,5,57030.4,23450.0,17653,-0.1234856007944389,-0.2161190053285968,161.72000263,-0.02,-290.50295975,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-16,56066.5,0,55566.5,54016.5,53466.5,0.028694935806651722,54046.5,53161.5,879.3463481472738,1,5,58363.504,23458.0,17653,-0.1234856007944389,-0.2161190053285968,168.48000257,-0.02,-283.32648049000005,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-17,56666.5,0,56066.5,55566.5,54016.5,0.008998227349212184,54566.5,53641.5,1171.003842863014,2,5,58882.95,23450.0,17653,-0.1234856007944389,-0.2161190053285968,172.40000255,-0.02,-278.89179697000003,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-18,57216.5,0,56666.5,56066.5,55566.5,0.010701577590896516,55156.5,54126.5,1363.0847369110793,3,5,60547.9,23450.0,17653,-0.1234856007944389,-0.2161190053285968,175.80000257,-0.02,-275.77699779,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-19,57466.5,0,57216.5,56666.5,56066.5,0.009705910899737935,55906.5,54641.5,1225.4590976446118,4,5,59563.0,23450.0,17653,-0.1234856007944389,-0.2161190053285968,175.720002558,-0.02,-277.269214542,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-22,59416.5,0,57466.5,57216.5,56666.5,0.004369368975732479,56596.5,55116.5,788.6697661251802,0,5,60714.48,23460.0,17954,-0.0740587931923671,-0.1368269230769231,195.500002868,-0.02,-257.77127689200006,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-23,60866.5,0,59416.5,57466.5,57216.5,0.033932813030200126,57366.5,55706.5,1266.3925141913728,1,5,61618.502,23438.0,17954,-0.0740587931923671,-0.1368269230769231,201.400002828,-0.02,-252.343319512,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-24,60066.5,0,60866.5,59416.5,57466.5,0.024403995523128996,58326.5,56446.5,1758.3372827759601,2,5,60012.79,23470.0,17954,-0.0740587931923671,-0.1368269230769231,207.240003068,-0.02,-246.067276072,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-25,60066.5,0,60066.5,60866.5,59416.5,-0.013143519012921767,59006.5,57081.5,1606.7824992823225,3,5,60388.31,23470.0,17954,-0.0740587931923671,-0.1368269230769231,213.600003168,-0.02,-237.588708312,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-26,60225.0,0,60066.5,60066.5,60866.5,0.0,59576.5,57741.5,1286.662348870109,4,5,58862.76,23470.0,17954,-0.0740587931923671,-0.1368269230769231,218.340003328,-0.02,-231.874085252,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-29,60766.5,0,60225.0,60066.5,60066.5,0.0026387420608824375,60128.2,58362.35,516.862602632408,0,5,59344.8,23475.0,17954,-0.0740587931923671,-0.1368269230769231,257.120004068,-0.02,-192.270162912,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-30,60766.5,0,60766.5,60225.0,60066.5,0.008991282689912783,60398.2,58882.35,388.90802254510965,1,5,59319.52,23465.0,17954,-0.0740587931923671,-0.1368269230769231,263.820004328,-0.02,-184.601053332,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-05-31,60366.5,0,60766.5,60766.5,60225.0,0.0,60378.2,59352.35,360.3254778668134,2,5,59169.6,23480.0,17954,-0.0740587931923671,-0.1368269230769231,269.900004088,-0.02,-176.644284652,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-06-01,60366.5,0,60366.5,60766.5,60766.5,-0.006582574280236675,60438.2,59722.35,317.92994511361724,3,6,59182.2,23485.0,17943,-0.0746260959257348,-0.1139259259259258,279.500004348,0.27,-165.05342915200004,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-06-02,61066.5,0,60366.5,60366.5,60766.5,0.0,60498.2,60037.35,251.64349782966354,4,6,60285.995,23485.0,17943,-0.0746260959257348,-0.1139259259259258,285.560004348,0.27,-157.72746577200002,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-06-05,60916.5,0,61066.5,60366.5,60366.5,0.011595835438529711,60666.5,60397.35,299.99999999991354,0,6,59673.45,23475.0,17943,-0.0746260959257348,-0.1139259259259258,314.100004488,0.27,-124.22791871200003,174.71,2324.4805677980653,0.0439140474895864,652.2,1742057.5,2.6710479914136767,214800.0
2023-06-06,61416.5,0,60916.5,61066.5,60366.5,-0.002456338581710127,60696.5,60547.35,319.37438845334503,1,6,60476.13,23495.0,17943,-0.0746260959257348,-0.1139259259259258,330.560004448,0.27,-104.78131627200004,146.64,2458.8788870703765,0.0578186460812724,652.2,1742057.5,2.6710479914136767,214800.0
2023-06-07,61516.5,0,61416.5,60916.5,61066.5,0.00820795679331554,60826.5,60602.35,457.4385204592505,2,6,60661.755,23485.0,17943,-0.0746260959257348,-0.1139259259259258,338.520005056,0.27,-93.89275294400002,146.64,2458.8788870703765,0.0578186460812724,652.2,1742057.5,2.6710479914136767,214800.0
2023-06-08,62516.5,0,61516.5,61416.5,60916.5,0.0016282269422711604,61056.5,60747.35,457.4385204592505,3,6,61906.46,23485.0,17943,-0.0746260959257348,-0.1139259259259258,343.060004876,0.27,-86.80533472400002,146.64,2458.8788870703765,0.0578186460812724,652.2,1742057.5,2.6710479914136767,214800.0
