Date,Price
2023-04-19,2386.0
2023-04-20,2374.0
2023-04-21,2382.0
2023-04-24,2444.0
2023-04-25,2419.0
2023-04-26,2413.0
2023-04-27,2405.0
2023-04-28,2409.0
2023-05-02,2424.0
2023-05-03,2424.0
2023-05-04,2412.0
2023-05-05,2471.0
2023-05-09,2465.0
2023-05-10,2481.0
2023-05-11,2393.0
2023-05-12,2432.0
2023-05-15,2488.0
2023-05-16,2511.0
2023-05-17,2582.0
2023-05-18,2540.0
2023-05-19,2588.0
2023-05-22,2629.0
2023-05-23,2557.0
2023-05-24,2573.0
2023-05-25,2508.0
2023-05-26,2528.0
2023-05-30,2520.0
2023-05-31,2520.0
2023-06-01,2567.0
2023-06-02,2542.0
2023-06-05,2574.0
2023-06-06,2583.0
2023-06-07,2636.0
2023-06-08,2726.0
2023-06-09,2702.0
2023-06-12,2681.0
2023-06-13,2689.0
2023-06-14,2694.0
2023-06-15,2757.0
2023-06-16,2747.0
2023-06-19,2783.0
2023-06-20,2770.0
2023-06-21,2726.0
2023-06-22,2749.0
2023-06-23,2676.0
2023-06-26,2710.0
2023-06-27,2715.0
2023-06-28,2616.0
2023-06-29,2570.0
2023-06-30,2491.0
2023-07-03,2538.0
2023-07-04,2527.0
2023-07-05,2512.0
2023-07-06,2510.0
2023-07-07,2621.0
2023-07-10,2576.0
2023-07-11,2570.0
2023-07-12,2534.0
2023-07-13,2525.0
2023-07-14,2540.0
2023-07-17,2552.0
2023-07-18,2532.0
2023-07-19,2604.0
2023-07-20,2536.0
2023-07-21,2602.0
2023-07-24,2649.0
2023-07-25,2628.0
2023-07-26,2480.0
2023-07-27,2499.0
2023-07-28,2437.0
2023-07-31,2476.0
2023-08-01,2494.0
2023-08-02,2532.0
2023-08-03,2516.0
2023-08-04,2488.0
2023-08-07,2554.0
2023-08-08,2559.0
2023-08-09,2543.0
2023-08-10,2534.0
2023-08-11,2517.0
2023-08-14,2435.0
2023-08-15,2433.0
2023-08-16,2378.0
2023-08-17,2391.0
2023-08-18,2363.0
2023-08-21,2366.0
2023-08-22,2374.0
2023-08-23,2402.0
2023-08-24,2406.0
2023-08-25,2437.0
2023-08-29,2449.0
2023-08-30,2496.0
2023-08-31,2489.0
2023-09-01,2482.0
2023-09-04,2483.0
2023-09-05,2453.0
2023-09-06,2456.0
2023-09-07,2407.0
2023-09-08,2407.0
2023-09-11,2439.0
2023-09-12,2430.0
2023-09-13,2479.0
2023-09-14,2495.0
2023-09-15,2556.0
2023-09-18,2566.0
2023-09-19,2540.0
2023-09-20,2508.0
2023-09-21,2464.0
2023-09-22,2461.0
