date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-06-16,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-17,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-18,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-19,197.0,,13480.0,17150.0,11180.0,11030.0,10930.0,,17360.0,18060.0,18210.0,215.0,12110.0
2017-06-20,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-21,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-22,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-23,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-24,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-25,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-26,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-27,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-28,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-29,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-06-30,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-07-01,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-07-02,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-07-03,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-07-04,197.0,,12830.0,16340.0,10810.0,10660.0,10560.0,,16500.0,17200.0,17350.0,215.0,11380.0
2017-07-05,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-06,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
2017-07-07,197.0,,12950.0,15910.0,10920.0,10770.0,10670.0,,16060.0,16760.0,16910.0,215.0,11660.0
